file,attore_1,attore_2
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Istruzione Superiore ""VITTORIO EMANUELE II"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Professionale per i Servizi Commerciali e Socio -Sanitari ""DE GIORGIO"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Secondario Superiore ""DE TITTA- FERMI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto Tecnico Tecnologico ""L. DA VINCI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Istituto di istruzione superiore ""Alessandra Volta"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano","Liceo Scientifico ""G. GALILEI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",PRonto SOKCORSO G. BERNABEO
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Prefettura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Procura della Repubblica di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Questura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Questura di Chieti -Polizia di Stato
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Rotary Club di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Soggiorno Proposta Onlus
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Sportello SenzaViolenza Donne&Minori
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,"Ambito Distrettuale Sociale n.11 ""Frentano",Tribunale di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Associazione ""DeA- Donne e Aiuto"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Associazione ""I Colori dell'Iride"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Associazione Culturale Maria Luisa Brasile
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Associazione Dafne Onlus
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Associazione Donn'e di Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Associazione di promozione sociale Donn.e
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Azienda Sanitaria ASL 02 Lanciano-Vasto-Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,CRI - Casa Rifugio di Orsogna
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Caritas Diocesana Arcidiocesi Lanciano-Vasto-Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Casa Circondariale di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Centro Antiviolenza ""Dafne"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Centro di salute mentale Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Centro per l'Impiego di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comando Compagnia Carabinieri Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comando provinciale dei carabinieri di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Castel Frentano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Fossacesia
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Frisa
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Mozzagrogna
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Rocca San Giovanni
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di San Vito Chietino
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Santa Maria Imbaro
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Comune di Treglio
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Consulta Giovanile Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Consultorio Famigliare A.Ge
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Cooperativa ""ICSole"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Distretto sanitario territoriale Ortona
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituti di istruzione superiore ""Acciaiuli-Enaudi"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Comprensivo ""Don Milani"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Comprensivo ""G. D'Annunzio"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Comprensivo ""Mario Bosco"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Comprensivo ""Umberto I"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Comprensivo n.1 ""Matilde Serao"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Comprensivo n.2 "" F.P. Tosti"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Istruzione Superiore ""VITTORIO EMANUELE II"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Professionale per i Servizi Commerciali e Socio -Sanitari ""DE GIORGIO"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Secondario Superiore ""DE TITTA- FERMI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto Tecnico Tecnologico ""L. DA VINCI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Istituto di istruzione superiore ""Alessandra Volta"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,"Liceo Scientifico ""G. GALILEI"
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,PRonto SOKCORSO G. BERNABEO
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Prefettura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Procura della Repubblica di Lanciano
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Questura di Chieti
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Assistenza consultoriale Interdistrettuale,Questura di Chieti -Polizia di Stato
