id_rete,input_json,titolo_rete,file,regione,provincia,comune_soggetto,nome_soggetto,tipo_dettaglio,tipo_aggregato_10,macro_tipologia,ruolo_attore,ruolo_firmatario,ruolo_proponente,ruolo_gestione,ruolo_monitoraggio,ruolo_coordinamento,ruolo_governance_totale,stato_osservazione
16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,all_risultati_enriched_2.4.json,2406_rta_16_250410122122_4166---Protocollo_Viola,16_2406_rta_16_250410122122_4166---Protocollo_Viola.txt,Puglia,Foggia,Foggia,Comune di Foggia,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,all_risultati_enriched_2.4.json,2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,Friuli-Venezia Giulia,Gorizia,Fogliano Redipuglia,Comune di Fogliano Redipuglia,Comuni,Servizi comunali,Servizi comunali,0,1,0,0,0,0,0,valido_localizzato
10_2406_rta_10_250506141901_4166---ProtocollounicoregionaleRINNOVATO.txt,all_risultati_enriched_2.4.json,2406_rta_10_250506141901_4166---ProtocollounicoregionaleRINNOVATO,10_2406_rta_10_250506141901_4166---ProtocollounicoregionaleRINNOVATO.txt,Umbria,Perugia,Foligno,Comune di Foligno,Comuni,Servizi comunali,Servizi comunali,1,0,0,0,0,1,1,valido_localizzato
09_GROSSETO 2022 fpdf.txt,all_risultati_enriched_2.4.json,GROSSETO 2022 fpdf,09_GROSSETO 2022 fpdf.txt,Toscana,Grosseto,Follonica,Comune di Follonica,Comuni,Servizi comunali,Servizi comunali,1,0,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,Bologna,Fontanelice,Comune di Fontanelice,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091621_4166---PROTOCOLLO_22,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,Emilia-Romagna,Forli-Cesena,Forli,Comune di Forli,Comuni,Servizi comunali,Servizi comunali,1,1,1,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091725_4166---Protoc-Prefett-2017,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Modena,Formigine,Comune di Formigine,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,all_risultati_enriched_2.4.json,2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ,13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,Abruzzo,Chieti,Fossacesia,Comune di Fossacesia,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
05_2406_rta_05_240916135305_4166---protocolloulss4.txt,all_risultati_enriched_2.4.json,2406_rta_05_240916135305_4166---protocolloulss4,05_2406_rta_05_240916135305_4166---protocolloulss4.txt,Veneto,Venezia,Fossalta di Piave,Comune di Fossalta di Piave,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
05_2406_rta_05_240916135305_4166---protocolloulss4.txt,all_risultati_enriched_2.4.json,2406_rta_05_240916135305_4166---protocolloulss4,05_2406_rta_05_240916135305_4166---protocolloulss4.txt,Veneto,Venezia,Fossalta di Portogruaro,Comune di Fossalta di Portogruaro,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
