file,ambito_territoriale,livello_prevalente,comune_prevalente,provincia_prevalente,regione_prevalente,lat,lon,n_soggetti,n_firmatari,n_proponenti,n_attori,n_governance,n_governance_generica,n_enti_capofila,ente_capofila_principale,bucket_ambito
03_2406_rta_03_240918153240_4166---Protocollod'intesaperl'IstituzionediunSistemaTerritorialeAntiviolenzainReteconAddendumSindacati.txt,regionale,comune,Lecco,Lecco,Lombardia,45.827899068965515,9.38019082413793,51,34,23,48,8,0,0,,regionale
03_2406_rta_03_240918153252_4166---Protocollo+Appendice+LineeGuida_Datatodafirmare.txt,regionale,comune,Cremona,Cremona,Lombardia,45.20689054634146,10.0012454,62,57,23,59,3,0,2,Comune di Cremona,regionale
03_2406_rta_03_240920093134_4166---Protocollo_Intesa_Rete_Antiviolenza_SudEstMilano_Paullese_2021-2023.txt,provinciale,comune,Mediglia,Milano,Lombardia,45.408611574999995,9.4304331,35,14,3,35,1,0,2,Comune di San Donato Milanese,provinciale
03_2406_rta_03_240920120751_4166---protocollodiintesa.txt,provinciale,comune,Legnano,Milano,Lombardia,45.513456873076926,8.950128638461539,61,50,2,59,2,0,2,Comune di Cerro Maggiore,provinciale
03_2406_rta_03_240920124656_4166---ProtocolloantiviolenzaDEFINITIVO(1).txt,provinciale,comune,Bergamo,Bergamo,Lombardia,45.62299620769231,9.85834413076923,26,21,1,26,1,0,1,Comunita Montana Valle Brembana,provinciale
03_2406_rta_03_240923101524_4166---PROTOCOLLO_DI_INTESA_versione_DEFINITIVA2021.stamped.txt,provinciale,comune,Brescia,Brescia,Lombardia,45.52096103777778,10.165851715555556,78,78,17,78,0,0,1,Comune di Brescia,provinciale
03_2406_rta_03_240923102947_4166---ProtSOTTOSCRITTO_ReteAntiviolenzaPiuIntegrazioneAprile2024(1).txt,provinciale,comune,Sondrio,Sondrio,Lombardia,46.019738366666665,9.859779466666668,33,26,12,26,4,0,1,Comune di Sondrio,provinciale
03_2406_rta_03_240923103647_4166---protocolloreteantiviolenzacinisello2019(1).txt,provinciale,comune,Cinisello Balsamo,Milano,Lombardia,45.54153369666666,9.239038310000002,59,12,12,58,3,0,1,Comune di Cinisello Balsamo,provinciale
03_2406_rta_03_240923105244_4166---ProtocolloViolenzaMilanoFirme2023.txt,provinciale,comune,Milano,Milano,Lombardia,45.469881216666664,9.374183038888889,48,41,10,48,0,0,1,Comune di Milano,provinciale
03_2406_rta_03_240923111659_4166---ProtocolloantiviolenzaComunediLodi_scansioneconfirme_maggio2014.txt,regionale,comune,Lodi,Lodi,Lombardia,45.26602419545455,9.614812081818181,26,23,17,24,3,0,0,,regionale
03_2406_rta_03_240923113114_4166---ProtocolloReteAddaMartesanasottoscritto.txt,regionale,comune,Melzo,Milano,Lombardia,45.517726044,9.470613296,70,67,11,49,3,0,1,Comune di Melzo,regionale
