file,attore_1,attore_2
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Pronto Soccorso di Campostaggia Azienda USL Toscana Sud Est
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Questura di Siena
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,SERD
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,SEUS - Servizio Emergenza Urgenza Sociale
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,SMA
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Servizi sociali
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Servizio di Salute Mentale Azienda USL Toscana Sud Est Zona Alta Valdelsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,Società della Salute Alta Val d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,U.O Pronto Soccorso Azienda USL 7 - Monoblocco Alta Val d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,U.O.C. di Psicologia Azienda USL Toscana Sud Est
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,Azienda USL Toscana Sud Est,UTES - Unità Territoriali Emergenza Sociale
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,CPO dell'Ordine degli Avvocati di Siena
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Casa Rifugio D.I.V.E
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Centro Pari Opportunità Valdelsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Comando Provinciale dei Carabinieri
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Comune di Casole d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Comune di Colle di Val d'Elsa
09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,CAM Firenze,Comune di Poggibonsi
